Address,Price,Sold_Year
TOONGABBIE VIC 3856,"$800,000 ",Sold by private treaty 24 Nov 2022
TRENTHAM VIC 3458,"$2,200,000 ",Sold by private treaty 24 Nov 2022
TRUGANINA VIC 3029,"$360,000 ",Sold by private treaty 24 Nov 2022
VERMONT SOUTH VIC 3133,"$1,490,000 ",Sold by private treaty 24 Nov 2022
WANDONG VIC 3758,"$1,020,000 ",Sold by private treaty 24 Nov 2022
WARRACKNABEAL VIC 3393,"$140,000 ",Sold at auction 24 Nov 2022
WERRIBEE VIC 3030,"$570,000 ",Sold by private treaty 24 Nov 2022
WHITTLESEA VIC 3757,"$805,000 ",Sold by private treaty 24 Nov 2022
WODONGA VIC 3690,"$820,000 ",Sold by private treaty 24 Nov 2022
WOODEND VIC 3442,"$860,000 ",Sold by private treaty 24 Nov 2022
WYNDHAM VALE VIC 3024,"$685,000 ",Sold by private treaty 24 Nov 2022
WYNDHAM VALE VIC 3024,"$502,000 ",Sold by private treaty 24 Nov 2022
YARRAGON VIC 3823,"$915,000 ",Sold by private treaty 24 Nov 2022
AIREYS INLET VIC 3231,"$1,725,000 ",Sold by private treaty 23 Nov 2022
AIRPORT WEST VIC 3042,"$880,000 ",Sold by private treaty 23 Nov 2022
ALTONA VIC 3018,"$705,000 ",Sold by private treaty 23 Nov 2022
ALTONA VIC 3018,"$1,360,000 ",Sold by private treaty 23 Nov 2022
BALLARAT NORTH VIC 3350,"$555,000 ",Sold by private treaty 23 Nov 2022
BANDIANA VIC 3691,"$599,000 ",Sold by private treaty 23 Nov 2022
BANNOCKBURN VIC 3331,"$1,515,000 ",Sold by private treaty 23 Nov 2022
BELMONT VIC 3216,"$700,000 ",Sold by private treaty 23 Nov 2022
BENALLA VIC 3672,"$372,000 ",Sold by private treaty 23 Nov 2022
BENDIGO VIC 3550,"$1,200,000 ",Sold by private treaty 23 Nov 2022
BENTLEIGH EAST VIC 3165,"$841,100 ",Sold at auction 23 Nov 2022
BERWICK VIC 3806,"$850,000 ",Sold by private treaty 23 Nov 2022
BOLINDA VIC 3432,"$1,400,000 ",Sold by private treaty 23 Nov 2022
BONNIE DOON VIC 3720,"$620,000 ",Sold by private treaty 23 Nov 2022
BOX HILL VIC 3128,"$488,800 ",Sold by private treaty 23 Nov 2022
BROOKFIELD VIC 3338,"$610,000 ",Sold by private treaty 23 Nov 2022
BROOKFIELD VIC 3338,"$540,000 ",Sold by private treaty 23 Nov 2022
BRUNSWICK VIC 3056,"$1,350,000 ",Sold prior to auction 23 Nov 2022
BRUNSWICK WEST VIC 3055,"$800,000 ",Sold prior to auction 23 Nov 2022
BULLEEN VIC 3105,"$1,280,000 ",Sold by private treaty 23 Nov 2022
CAIRNLEA VIC 3023,"$335,000 ",Sold by private treaty 23 Nov 2022
CALIFORNIA GULLY VIC 3556,"$260,000 ",Sold by private treaty 23 Nov 2022
CHESNEY VALE VIC 3725,"$605,000 ",Sold by private treaty 23 Nov 2022
CHIRNSIDE PARK VIC 3116,"$2,350,000 ",Sold by private treaty 23 Nov 2022
CLAYTON VIC 3168,"$351,500 ",Sold by private treaty 23 Nov 2022
CLYDE VIC 3978,"$763,000 ",Sold by private treaty 23 Nov 2022
CRAIGIEBURN VIC 3064,"$480,000 ",Sold by private treaty 23 Nov 2022
CRAIGIEBURN VIC 3064,"$650,000 ",Sold by private treaty 23 Nov 2022
